Date,Type,Name,Category,Amount,Currency,Local currency,Description,Money Out,Money In
03/03/2025,Card payment,Sainsbury’s,Groceries,-1.9,GBP,GBP,SAINSBURYS-LEEDS HEADR LEEDS         GBR,-1.9,
03/03/2025,Card payment,Notre Dame 6th Form Co,Eating out,-1.6,GBP,GBP,NOTRE DAME 6TH FORM CO LEEDS         GBR,-1.6,
04/03/2025,Card payment,Sainsbury’s,Groceries,-1.9,GBP,GBP,SAINSBURYS-LEEDS HEADR LEEDS         GBR,-1.9,
05/03/2025,Card payment,Sainsbury’s,Groceries,-1.9,GBP,GBP,SAINSBURYS-LEEDS HEADR LEEDS         GBR,-1.9,
05/03/2025,Card payment,Notre Dame 6th Form Co,Eating out,-1.6,GBP,GBP,NOTRE DAME 6TH FORM CO LEEDS         GBR,-1.6,
06/03/2025,Card payment,Sainsbury’s,Groceries,-2.8,GBP,GBP,SAINSBURYS-LEEDS HEADR LEEDS         GBR,-2.8,
06/03/2025,Card payment,Notre Dame 6th Form Co,Eating out,-1.6,GBP,GBP,NOTRE DAME 6TH FORM CO LEEDS         GBR,-1.6,
07/03/2025,Card payment,Sainsbury’s,Groceries,-1.9,GBP,GBP,SAINSBURYS-LEEDS HEADR LEEDS         GBR,-1.9,
07/03/2025,Card payment,Wetherspoon,Eating out,-4.18,GBP,GBP,HEDLEY VERITY          LEEDS         GBR,-4.18,
07/03/2025,Card payment,Wetherspoon,Eating out,-4.74,GBP,GBP,HEDLEY VERITY          LEEDS         GBR,-4.74,
07/03/2025,Card payment,Wetherspoon,Eating out,-2.49,GBP,GBP,HEDLEY VERITY          LEEDS         GBR,-2.49,
10/03/2025,Faster payment,C Cheung,Transfers,50,GBP,GBP,Monzo-WQRSP,,50
10/03/2025,Card payment,Notre Dame 6th Form Co,Eating out,-3.4,GBP,GBP,NOTRE DAME 6TH FORM CO LEEDS         GBR,-3.4,
11/03/2025,Card payment,Sainsbury’s,Groceries,-2.25,GBP,GBP,SAINSBURYS-LEEDS HEADR LEEDS         GBR,-2.25,
11/03/2025,Card payment,Notre Dame 6th Form Co,Eating out,-1.6,GBP,GBP,NOTRE DAME 6TH FORM CO LEEDS         GBR,-1.6,
12/03/2025,Card payment,Sainsbury’s,Groceries,-1.9,GBP,GBP,SAINSBURYS-LEEDS HEADR LEEDS         GBR,-1.9,
12/03/2025,Card payment,Wetherspoon,Eating out,-4.74,GBP,GBP,HEDLEY VERITY          LEEDS         GBR,-4.74,
13/03/2025,Card payment,Sainsbury’s,Groceries,-1.9,GBP,GBP,SAINSBURYS-LEEDS HEADR LEEDS         GBR,-1.9,
14/03/2025,Card payment,Notre Dame 6th Form Co,Eating out,-2.7,GBP,GBP,NOTRE DAME 6TH FORM CO LEEDS         GBR,-2.7,
14/03/2025,Card payment,Notre Dame 6th Form Co,Eating out,-3.4,GBP,GBP,NOTRE DAME 6TH FORM CO LEEDS         GBR,-3.4,
14/03/2025,Card payment,Chartwells Notre Dame,Groceries,-1,GBP,GBP,CHARTWELLS NOTRE DAME  LEEDS         GBR,-1,
14/03/2025,Card payment,Wetherspoon,Eating out,-4.18,GBP,GBP,HEDLEY VERITY          LEEDS         GBR,-4.18,
15/03/2025,Card payment,Tesco,Groceries,-4,GBP,GBP,TESCO STORES 5941      LEEDS         GBR,-4,
16/03/2025,Card payment,Tesco,Groceries,-3.1,GBP,GBP,TESCO STORES           LEEDS         GBR,-3.1,
16/03/2025,Card payment,Tesco,Groceries,-1.45,GBP,GBP,TESCO STORES  6584     WEST YORKSHIR GBR,-1.45,
16/03/2025,Card payment,Broderick Vending Machine ,Groceries,-2.6,GBP,GBP,Broderick Vend         MANCHESTER    GBR,-2.6,
17/03/2025,Card payment,Sainsbury’s,Groceries,-1.9,GBP,GBP,SAINSBURYS-LEEDS HEADR LEEDS         GBR,-1.9,
17/03/2025,Card payment,Notre Dame 6th Form Co,Eating out,-3.4,GBP,GBP,NOTRE DAME 6TH FORM CO LEEDS         GBR,-3.4,
18/03/2025,Card payment,Sainsbury’s,Groceries,-1.9,GBP,GBP,SAINSBURYS-LEEDS HEADR LEEDS         GBR,-1.9,
18/03/2025,Card payment,Notre Dame 6th Form Co,Eating out,-3.3,GBP,GBP,NOTRE DAME 6TH FORM CO LEEDS         GBR,-3.3,
19/03/2025,Faster payment,C Cheung,Transfers,50,GBP,GBP,Monzo-WQRSP,,50
19/03/2025,Card payment,Sainsbury’s,Groceries,-1.9,GBP,GBP,SAINSBURYS-LEEDS HEADR LEEDS         GBR,-1.9,
19/03/2025,Card payment,KFC,Eating out,-4.99,GBP,GBP,KFC LEEDS MERRION CENT LEEDS         GBR,-4.99,
20/03/2025,Card payment,Notre Dame 6th Form Co,Eating out,-2.7,GBP,GBP,NOTRE DAME 6TH FORM CO LEEDS         GBR,-2.7,
20/03/2025,Faster payment,SEDGLEY M,Income,0.02,GBP,GBP,e,,0.02
20/03/2025,Card payment,Notre Dame 6th Form Co,Eating out,-1.6,GBP,GBP,NOTRE DAME 6TH FORM CO LEEDS         GBR,-1.6,
21/03/2025,Card payment,Poundland,Eating out,-1.5,GBP,GBP,POUNDLAND LTD - 1168   LEEDS         GBR,-1.5,
21/03/2025,Card payment,Notre Dame 6th Form Co,Eating out,-1.6,GBP,GBP,NOTRE DAME 6TH FORM CO LEEDS         GBR,-1.6,
21/03/2025,Card payment,Tesco,Groceries,-4.9,GBP,GBP,TESCO STORES           LEEDS         GBR,-4.9,
21/03/2025,Faster payment,C Cheung,Transfers,200,GBP,GBP,Monzo-YKSDX,,200
21/03/2025,Pot transfer,Savings - ISA Pot,Savings,-200,GBP,GBP,,-200,
21/03/2025,Faster payment,C Cheung,Transfers,200,GBP,GBP,Monzo-LGFZV,,200
21/03/2025,Pot transfer,Savings - ISA Pot,Savings,-200,GBP,GBP,,-200,
24/03/2025,Card payment,Poundland,Eating out,-1.5,GBP,GBP,POUNDLAND LTD - 1168   LEEDS         GBR,-1.5,
24/03/2025,Card payment,Notre Dame 6th Form Co,Eating out,-1.6,GBP,GBP,NOTRE DAME 6TH FORM CO LEEDS         GBR,-1.6,
24/03/2025,Card payment,Co-op,Groceries,-1.4,GBP,GBP,CO-OP GROUP FOOD       LEEDS         GBR,-1.4,
25/03/2025,Card payment,Poundland,Eating out,-1.5,GBP,GBP,POUNDLAND LTD - 1168   LEEDS         GBR,-1.5,
25/03/2025,Card payment,Notre Dame 6th Form Co,Eating out,-1.6,GBP,GBP,NOTRE DAME 6TH FORM CO LEEDS         GBR,-1.6,
25/03/2025,Card payment,Fried,Eating out,-3.8,GBP,GBP,Fried                  Leeds         GBR,-3.8,
26/03/2025,Card payment,Poundland,Eating out,-1.5,GBP,GBP,POUNDLAND LTD - 1168   LEEDS         GBR,-1.5,
26/03/2025,Card payment,Flames,Eating out,-3.3,GBP,GBP,FLAMES                 LEEDS         GBR,-3.3,
26/03/2025,Card payment,Tesco,Groceries,-2.45,GBP,GBP,TESCO STORES 5941      LEEDS         GBR,-2.45,
27/03/2025,Card payment,Notre Dame 6th Form Co,Eating out,-3.4,GBP,GBP,NOTRE DAME 6TH FORM CO LEEDS         GBR,-3.4,
28/03/2025,Card payment,Poundland,Eating out,-2.5,GBP,GBP,POUNDLAND LTD - 1168   LEEDS         GBR,-2.5,
28/03/2025,Card payment,Notre Dame 6th Form Co,Eating out,-1.8,GBP,GBP,NOTRE DAME 6TH FORM CO LEEDS         GBR,-1.8,
28/03/2025,Card payment,Co-op,Groceries,-3.1,GBP,GBP,CO-OP GROUP FOOD       LEEDS         GBR,-3.1,
28/03/2025,Faster payment,C Cheung,Transfers,50,GBP,GBP,Monzo-WQRSP,,50
30/03/2025,Card payment,Tong Garden Centre,General,-8.3,GBP,GBP,Tong Garden Centre     Bradford      GBR,-8.3,
31/03/2025,Card payment,Poundland,Eating out,-1.5,GBP,GBP,POUNDLAND LTD - 1168   LEEDS         GBR,-1.5,
31/03/2025,Card payment,Notre Dame 6th Form Co,Eating out,-1.6,GBP,GBP,NOTRE DAME 6TH FORM CO LEEDS         GBR,-1.6,
31/03/2025,Card payment,Co-op,Groceries,-1.4,GBP,GBP,CO-OP GROUP FOOD       LEEDS         GBR,-1.4,
