Date,Type,Name,Amount
03/03/2025,outflow,Sainsbury’s,1.90
03/03/2025,outflow,Notre Dame 6th Form Co,1.60
04/03/2025,outflow,Sainsbury’s,1.90
05/03/2025,outflow,Sainsbury’s,1.90
05/03/2025,outflow,Notre Dame 6th Form Co,1.60
06/03/2025,outflow,Sainsbury’s,2.80
06/03/2025,outflow,Notre Dame 6th Form Co,1.60
07/03/2025,outflow,Sainsbury’s,1.90
07/03/2025,outflow,Wetherspoon,4.18
07/03/2025,outflow,Wetherspoon,4.74
07/03/2025,outflow,Wetherspoon,2.49
10/03/2025,outflow,Notre Dame 6th Form Co,3.40
11/03/2025,outflow,Sainsbury’s,2.25
11/03/2025,outflow,Notre Dame 6th Form Co,1.60
12/03/2025,outflow,Sainsbury’s,1.90
12/03/2025,outflow,Wetherspoon,4.74
13/03/2025,outflow,Sainsbury’s,1.90
14/03/2025,outflow,Notre Dame 6th Form Co,2.70
14/03/2025,outflow,Notre Dame 6th Form Co,3.40
14/03/2025,outflow,Chartwells Notre Dame,1.00
14/03/2025,outflow,Wetherspoon,4.18
15/03/2025,outflow,Tesco,4.00
16/03/2025,outflow,Tesco,3.10
16/03/2025,outflow,Tesco,1.45
16/03/2025,outflow,Broderick Vending Machine ,2.60
17/03/2025,outflow,Sainsbury’s,1.90
17/03/2025,outflow,Notre Dame 6th Form Co,3.40
18/03/2025,outflow,Sainsbury’s,1.90
18/03/2025,outflow,Notre Dame 6th Form Co,3.30
19/03/2025,outflow,Sainsbury’s,1.90
19/03/2025,outflow,KFC,4.99
20/03/2025,outflow,Notre Dame 6th Form Co,2.70
20/03/2025,outflow,SEDGLEY M,0.02
20/03/2025,outflow,Notre Dame 6th Form Co,1.60
21/03/2025,outflow,Poundland,1.50
21/03/2025,outflow,Notre Dame 6th Form Co,1.60
21/03/2025,outflow,Tesco,4.90
24/03/2025,outflow,Poundland,1.50
24/03/2025,outflow,Notre Dame 6th Form Co,1.60
24/03/2025,outflow,Co-op,1.40
25/03/2025,outflow,Poundland,1.50
25/03/2025,outflow,Notre Dame 6th Form Co,1.60
25/03/2025,outflow,Fried,3.80
26/03/2025,outflow,Poundland,1.50
26/03/2025,outflow,Flames,3.30
26/03/2025,outflow,Tesco,2.45
27/03/2025,outflow,Notre Dame 6th Form Co,3.40
28/03/2025,outflow,Poundland,2.50
28/03/2025,outflow,Notre Dame 6th Form Co,1.80
28/03/2025,outflow,Co-op,3.10